SiteName,Region,Period,TombID,BronzePeriod,NoInterRegionalPotImports,InterRegionalPotImportDesc,NoInternPotImports,InternPotImportsDesc,NoLocalPots,LocalPotsDesc,NoRitualItems,RitualItemDesc,NoFeastingSpecial,FeastingSpecialDesc,NoCuLocalArtifacts,CuLocalArtifactsDesc,NoBrzArtifacts,BrzArtifactsDesc,NoOtherMetalImports,OtherMetalImportsDesc,NoAnimalBone,AnimalBoneDesc,NoOtherInterRegionalImport,OtherInterRegionalImportDesc,NoOtherInternationalImport,OtherInternationalImportDesc,NoOtherLocalGoods,OtherLocalGoodsDesc,NoIntraRegionalPotImport,IntraRegionalImportPotDesc,NoIntraRegionalImport,IntraRegionalImportDesc,NoLocalPicrolite,PicroliteDesc,NoPicroliteImport,NoTombdecor,MetalMakingSupIconDesc,TotalPots,TotalIntraRegionalGoods,TotalInterRegionalGoods,TotalInternationalGoods,TotalIdeology,TotalMinerals,TotalMetals,TotalLocal,TotalArtifacts,TotalImports,TotalFeasting,TotalLocalImport
Alambra Mouttes,Central,PreBA 2,AL.101,EC,2,"WPA closed vessel fragment 1
DP closed vessel fragment 1",0,"Looted, total is an estimate",54,"RPB coarse cooking amphora 1 (blackened from cooking)
RPB basin 1 (blackened from cooking)
RPA jug 1
RPA jug with snake relief 1
RPA juglets 4
RPA med amphora 4
RPA med amphora with snake decoration 1
RPA small amphora 1
RPA small bowl 1
RPA small tulip bowl 1
RPA composite bowl fragment 1
RPB jug 1
RPB lg amphora 1
RPB coarse amphora 1
RPB lg bowl with tubular spout 1
RPB lg bowl 1
RPB lg bowl with snake and sylized animals 1
RPB small bowl 1

2000 sherds
At least 30 other pots",3,"RPA jug with snake relief 1
RPA med amphora with snake decoration 1
RPB lg bowl with snake and sylized animals 1",2,"RPA small tulip bowl 1
RPA composite bowl fragment 1",2,"Arsenical copper knife 1 (tested)
Knife/waste 1",0,,0,,0,,0,,1,Faience bead 1,0,,0,,0,,0,,0,0,,56,0,2,1,3,2,2,56,59,3,58,2
Alambra Mouttes,Central,PreBA 2,AL.102,EC,0,,0,Complete burial,13,"RPA juglet 2
RPA med amphora 1
RPA small bowl 1
RPB jug 1
RPB jug with relief disk 1
RPB juglet 1
RPB Coarse amphora 1
RPB lg bowl 1
RPB basin 1
RPB small bowl 2
RP juglet 1",1,RPB jug with relief disk 1,0,,4,"Arsenical copper dagger/spearhead 1 (tested)
Arsenical copper axe 1 (tested)
Arsenical copper knife/scraper 1 (tested)
Tweezers 1",1,Tin bronze ring 1 (tested),0,,1,Animal bone present,0,,0,,3,"Whetstone 1
Bone needle 2",0,,0,,0,,0,0,,13,0,0,1,1,5,5,20,21,1,14,0
Alambra Mouttes,Central,PreBA 2,AL.103,EC,3,"WPA closed vessel 1
WPA small bowl 2",0,,14,"RPA jug 1
BP juglet 1
RPB small bowl 3
RPB ladle 1
Sherds from:
RP lg closed shape (jug) 1
RP lg bowls 4
RP small bowl 3",0,,0,,1,Scraper/awl or spatula 1,1,Tin bronze ring 1 (tested),0,,1,Sheep/goat bones,0,,0,,1,Modified sherd 1,0,,0,,0,,0,0,,17,0,3,1,0,2,2,16,20,4,18,3
Alambra Mouttes,Central,PreBA 2,AL.104,EC,0,,0,,9,"RPB jug 1
RPB bowl 1
jugs 2
lg bowl 3
small bowl 2-3",0,,0,,1,Needle 1,0,,0,,0,,0,,0,,1,Bone needle 1,0,,0,,0,,0,0,,9,0,0,0,0,1,1,11,11,0,9,0
Alambra Mouttes,Central,PreBA 2,AL.105,2300-2200,0,,0,,12,"RPA jug 1
RPA juglet 2
RPA med amphora 1
RPB juglet 3
RPB small bowl 3
RPB mug 1
RPB footed small bowl 1",0,,0,,1,Ring 1,0,,0,,1,at least two sheep/goats,0,,0,,0,,1,BP flask or juglet 1,0,,0,,0,0,,13,1,0,0,0,1,1,13,14,1,14,1
Alassa Palialona,South,PreBA 2,1,MCII,6,"RS II jug 5
BS anthropomorphic amphora 1",0,,55,"RPIII amphora 1
RPIII jug 2
RPIV bowl 26
RPIII bowl 4
RPIV jug 4
RPIV tankard 4
RPIV ladle 1
RPIII flask 2
RPIV composite vessel with two spouted bowls 1
RPIV juglet 3
RPIV bird shaped juglet 1
RPIV askos 1
RPIII amphoriskos 1
RPIV basin 4",2,"RPIV bird shaped juglet 1
BS anthropomorphic amphora 1",1,RPIV composite vessel with two spouted bowls 1,0,,0,,0,,0,,1,BP spindle whorl 1,0,,2,RP spindle whorl 2,9,"DP amphora 2
DP tankard 1
DP basin 1
DP miniature jug 1
DP bowl 2
DP juglet 1
DP jug 1",0,,1,Steatite? Seal 1,0,0,,70,9,7,0,2,1,0,58,74,16,71,16
Ayios Iakovos Melia,North,PreBA 2,7,MCII,0,,0,,13,"Plain White jar 2
RPIV bowl 2
RS bowl 1
RonB jug 4
BSII jug 1
BSII amphora 2
RPIII bowl 1",0,,0,,3,"Copper based knife 2
Copper based dagger 1",0,,0,,0,,0,,0,,1,Pierced whetstone 1,4,"WPIV bowl 3
Composite (RS and WPIV) bowl 1",0,,0,,0,0,,17,4,0,0,0,3,3,17,21,4,17,4
Ayios Iakovos Melia,North,PreBA 2,006 Total,MCII,1,,0,,122,,2,,0,,25,,1,,0,,0,,0,,3,,1,,11,,0,,0,,0,0,,134,11,1,4,2,26,26,148,164,16,134,12
Bellapais Vounous,North,PreBA 1,2,ECII,0,,0,,80,"RP lg tubular spouted bowl 3
RP lg bowl 1
RP lg open spouted bowl 1
RP BT small bowl 7
RP BT small open spouted bowl 10
RP BT small tubular spouted bowl 1
RP bowl with two projections on rim 1
RP bowl with 1 birds on rim 1
RP amphora 6
RP jug 11
RP jug with snake and horned animal relief 3
RP juglet 17
RP Juglet with plank shaped idol in front 1
RP juglet with two necks 1
RP BT bottle 11
RP pyxis with female plank idol, infant and male 1
RP composite vase with two cups 1
WP small bowl with projections on rim 1
WP spouted bowl 2",8,"RP bowl with 1 birds on rim 1
RP jug with snake and horned animal relief 3
RP Juglet with plank shaped idol in front 1
RP pyxis with female plank idol, infant and male 1
Stone plank shaped idols 2",2,"RP juglet with two necks 1
RP composite vase with two cups 1",14,"Copper based dagger 3
Copper based knife 3
Copper based pin 7
Arsenical copper pin (tested) 1",0,,0,,0,,0,,1,White paste beads 4 counted as 1 object,5,"Stone plank shaped idols 2
RP spindle whorls 3",0,,0,,0,,0,0,,80,0,0,1,8,14,14,99,100,1,82,0
Bellapais Vounous,North,PreBA 1,3,ECII,0,,0,,35,"RP lg bowl 1
RP BT small bowl 1
RP BT small bowl with open spout 2
RP small bowl with projections on rim 2
RP small bowl with open spout 1
RP amphora 5
RP jug 5
RP juglet 6
RP juglet with two necks 1
RP bottle 5
RP composite with four cups 2
RP cooking pot 3
WP spouted bowl 1",0,,3,"RP juglet with two necks 1
RP composite with four cups 2",3,Copper based pin 3,0,,0,,0,,0,,0,,2,"RP spindle whorl 1
Bone spindle whorl 1",0,,0,,0,,0,0,,35,0,0,0,0,3,3,40,40,0,38,0
